Exp	year	c	m	rm	Q	pSm1	Nb_juv0_previous_year
1	1986	887	135	91	6.18	0.956	3326
2	1987	283	31	24	4.19	0.516	1801
3	1988	307	59	43	3.12	0.917	856
4	1989	553	65	43	4.13	0.895	2799
5	1990	746	38	35	1.81	0.949	3170
6	1991	151	35	27	5.45	0.669	NA
7	1992	580	50	43	1.68	0.984	2383
8	1993	209	26	24	3.25	0.818	567
9	1994	329	17	10	4.77	0.982	1154
10	1995	618	63	NA	3.17	0.875	586
11	1996	767	76	NA	3.38	0.892	2307
12	1997	205	63	31	5.29	0.907	1604
13	1998	511	91	44	6.43	0.857	3652
14	1999	195	59	45	3.40	0.221	264
15	2000	1849	300	232	5.04	0.992	3497
16	2001	688	264	123	7.86	0.924	4657
17	2002	1919	442	352	2.71	0.833	6184
18	2003	844	326	222	4.42	0.581	1325
							
							
							
